ferramenta,tipo_template,recurso,peso
Escala de Ballard,escala,infografico,1
Escala de Ballard,escala,biblioteca,2
Escala de Barthel,escala,calculadora,3
Escala de Barthel,escala,artigo,1
Escala de Barthel,escala,quiz,2
Escala de Barthel,escala,guia_bolso,1
Escala de Barthel,escala,flashcards,1
Escala de Barthel,escala,caso_clinico,2
Escala de Barthel,escala,checklist,2
Escala de Barthel,escala,slides,1
Escala de Barthel,escala,infografico,1
Escala de Barthel,escala,biblioteca,2
Escala de CRIES,escala,calculadora,3
Escala de CRIES,escala,artigo,1
Escala de CRIES,escala,quiz,2
Escala de CRIES,escala,guia_bolso,1
Escala de CRIES,escala,flashcards,1
Escala de CRIES,escala,caso_clinico,2
Escala de CRIES,escala,checklist,2
Escala de CRIES,escala,slides,1
Escala de CRIES,escala,infografico,1
Escala de CRIES,escala,biblioteca,2
Escala de Cincinnati,escala,calculadora,3
Escala de Cincinnati,escala,artigo,1
Escala de Cincinnati,escala,quiz,2
Escala de Cincinnati,escala,guia_bolso,1
Escala de Cincinnati,escala,flashcards,1
Escala de Cincinnati,escala,caso_clinico,2
Escala de Cincinnati,escala,checklist,2
Escala de Cincinnati,escala,slides,1
Escala de Cincinnati,escala,infografico,1
Escala de Cincinnati,escala,biblioteca,2
Escala de Cornell,escala,calculadora,3
Escala de Cornell,escala,artigo,1
Escala de Cornell,escala,quiz,2
Escala de Cornell,escala,guia_bolso,1
Escala de Cornell,escala,flashcards,1
Escala de Cornell,escala,caso_clinico,2
Escala de Cornell,escala,checklist,2
Escala de Cornell,escala,slides,1
Escala de Cornell,escala,infografico,1
Escala de Cornell,escala,biblioteca,2
Escala de Downton,escala,calculadora,3
Escala de Downton,escala,artigo,1
Escala de Downton,escala,quiz,2
Escala de Downton,escala,guia_bolso,1
Escala de Downton,escala,flashcards,1
Escala de Downton,escala,caso_clinico,2
Escala de Downton,escala,checklist,2
Escala de Downton,escala,slides,1
Escala de Downton,escala,infografico,1
Escala de Downton,escala,biblioteca,2
Escala de Gosnell,escala,calculadora,3
Escala de Gosnell,escala,artigo,1
Escala de Gosnell,escala,quiz,2
Escala de Gosnell,escala,guia_bolso,1
Escala de Gosnell,escala,flashcards,1
Escala de Gosnell,escala,caso_clinico,2
Escala de Gosnell,escala,checklist,2
Escala de Gosnell,escala,slides,1
Escala de Gosnell,escala,infografico,1
Escala de Gosnell,escala,biblioteca,2
Escala de Johns,escala,calculadora,3
Escala de Johns,escala,artigo,1
Escala de Johns,escala,quiz,2
Escala de Johns,escala,guia_bolso,1
Escala de Johns,escala,flashcards,1
Escala de Johns,escala,caso_clinico,2
Escala de Johns,escala,checklist,2
Escala de Johns,escala,slides,1
