arquivo;backdrop_blur;drop_shadow;blur_pesado;shadow_pesado;font_inter;h1_font_sans;body_font_sans;nunito_preloads_ociosos;imgs_total;imgs_sem_lazy;imgs_sem_alt;imgs_sem_decoding
en\politica.html;0;0;0;0;0;1;1;0;2;0;0;0
en\prism.html;0;0;0;0;0;1;1;0;0;0;0;0
en\qsofa.html;0;0;0;0;0;1;1;0;0;0;0;0
en\ramsay.html;0;0;0;0;0;1;1;0;0;0;0;0
en\rancholosamigos.html;0;0;0;0;0;1;1;0;0;0;0;0
en\richmond.html;0;0;0;0;0;1;1;0;0;0;0;0
en\saps.html;0;0;0;0;0;1;1;0;0;0;0;0
en\sbar.html;0;0;0;0;0;1;1;0;0;0;0;0
en\silverman.html;0;0;0;0;0;1;1;0;0;0;0;0
en\sofa.html;0;0;0;0;0;1;1;0;0;0;0;0
en\tecnologiaverde.html;0;0;0;0;0;1;1;0;0;0;0;0
en\teorias-de-enfermagem.html;0;0;0;0;0;1;1;0;23;0;0;0
en\termos.html;0;0;0;0;0;1;1;0;1;0;0;0
en\tinetti.html;0;0;0;0;0;1;1;0;0;0;0;0
en\vigilancia.html;0;0;0;0;0;1;1;0;1;0;0;0
en\waterlow.html;0;0;0;0;0;1;1;0;0;0;0;0
en\zarit.html;0;0;0;0;0;1;1;0;0;0;0;0
es\aldrete.html;0;0;0;0;0;1;1;0;0;0;0;0
es\apache.html;0;0;0;0;0;1;1;0;0;0;0;0
es\apgar.html;0;0;0;0;0;1;1;0;0;0;0;0
es\asa.html;0;0;0;0;0;1;1;0;0;0;0;0
es\balancohidrico.html;0;0;0;0;0;1;1;0;0;0;0;0
es\ballard.html;0;0;0;0;0;1;1;0;0;0;0;0
es\barthel.html;0;0;0;0;0;1;1;0;0;0;0;0
es\berg.html;0;0;0;0;0;1;1;0;0;0;0;0
es\bishop.html;0;0;0;0;0;1;1;0;0;0;0;0
es\bps.html;0;0;0;0;0;1;1;0;0;0;0;0
es\braden.html;0;0;0;0;0;1;1;0;0;0;0;0
es\cam.html;0;0;0;0;0;1;1;0;0;0;0;0
es\capurro.html;0;0;0;0;0;1;1;0;0;0;0;0
es\cincinnati.html;0;0;0;0;0;1;1;0;0;0;0;0
es\conteudos_da_pagina.html;0;0;0;0;0;1;1;0;21;0;0;0
es\copsoq.html;0;0;0;0;0;1;1;0;0;0;0;0
es\copsoq3.html;0;0;0;0;0;1;1;0;0;0;0;0
es\cornell.html;0;0;0;0;0;1;1;0;0;0;0;0
es\cries.html;0;0;0;0;0;1;1;0;0;0;0;0
