======================================================================
      RELATÓRIO DE LIMPEZA E PADRONIZAÇÃO DE HREFLANG         
======================================================================

Total de arquivos com intervenção: 1512
Total de arquivos já corretos/intactos: 20

Detalhamento por arquivo modificado:
----------------------------------------------------------------------
[PADRONIZADO] es\barthel.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\berg.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\bishop.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\bps.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\braden.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\cam.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\capurro.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\cincinnati.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\cornell.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\cries.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\curb-65.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\downes.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\downton.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\elpo.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\escalanumerica.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\fale.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\fast.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\flacc.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\four.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\fugulin.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\gasometria.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\gds.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\gestacional.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\glasgow.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\gosnell.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\gotejamento.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\hamilton.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\humpty.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\imc.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\impactodigital.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\index.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\insulina.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\johns.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\jouvet.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\katz.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\lachs.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\lanss.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\lawton.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\manchester.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\mapa-do-site.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\medicamentos.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\meem.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\meows.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\missao.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\morse.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\news.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\nihss.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\nips.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\norton.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\nossocompromisso.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\objetivo.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\ofras.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\painad.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\pelod.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\perroca.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\pews.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\politica.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\politicadeacessibilidade.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\prism.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\qsofa.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\ramsay.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\rancholosamigos.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\richmond.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\saps.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\silverman.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\sofa.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\tecnologiaverde.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\teorias-de-enfermagem.html | pt-br corrigido para pt-BR
[REMOVIDO] es\teorias-de-enfermagem.html | Órfãos excluídos: fr, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk
[PADRONIZADO] es\termos.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\tinetti.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\waterlow.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\zarit.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\aldrete.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\apache.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\apgar.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\asa.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\balancohidrico.html | pt corrigido para pt-BR
[PADRONIZADO] de\ballard.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\barthel.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\berg.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\bishop.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\bps.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\braden.html | pt corrigido para pt-BR
[PADRONIZADO] de\cam.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\capurro.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\cincinnati.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\cornell.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\cries.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\curb-65.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\downton.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\elpo.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\fale.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\fast.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\flacc.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\four.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\gasometria.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\gds.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\gestacional.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\glasgow.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\gosnell.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\gotejamento.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\hamilton.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\humpty.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\imc.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\impactodigital.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\index.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\johns.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\jouvet.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\katz.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\lachs.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\lanss.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\lawton.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\mapa-do-site.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\medicamentos.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\meem.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\meows.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\missao.html | pt-br corrigido para pt-BR
